basename,label,score,row_count
section_00_test_anomaly_0300_asd3dp_s0020_clip0000026.wav,1,13.313744579699106,934
section_00_test_anomaly_0301_asd3dp_s0020_clip0000040.wav,1,13.754838889365022,934
section_00_test_anomaly_0302_asd3dp_s0020_clip0000068.wav,1,13.480320488359995,934
section_00_test_anomaly_0303_asd3dp_s0020_clip0000082.wav,1,13.397274267494806,934
section_00_test_anomaly_0304_asd3dp_s0020_clip0000095.wav,1,13.155227880661696,934
section_00_test_anomaly_0305_asd3dp_s0020_clip0000127.wav,1,13.383028482727116,934
section_00_test_anomaly_0306_asd3dp_s0020_clip0000142.wav,1,13.462732687752048,934
section_00_test_anomaly_0307_asd3dp_s0020_clip0000158.wav,1,13.806622832949717,934
section_00_test_anomaly_0308_asd3dp_s0020_clip0000175.wav,1,14.163367529752678,934
section_00_test_anomaly_0309_asd3dp_s0021_clip0000030.wav,1,13.65757952001927,934
section_00_test_anomaly_0310_asd3dp_s0021_clip0000048.wav,1,13.441527999698222,934
section_00_test_anomaly_0311_asd3dp_s0021_clip0000053.wav,1,13.783847546424294,934
section_00_test_anomaly_0312_asd3dp_s0021_clip0000071.wav,1,13.413179187243705,934
section_00_test_anomaly_0313_asd3dp_s0021_clip0000098.wav,1,13.616992142777372,934
section_00_test_anomaly_0314_asd3dp_s0021_clip0000115.wav,1,13.474705149836408,934
section_00_test_anomaly_0315_asd3dp_s0021_clip0000133.wav,1,13.52030549263801,934
section_00_test_anomaly_0316_asd3dp_s0021_clip0000147.wav,1,13.422831698709688,934
section_00_test_anomaly_0317_asd3dp_s0021_clip0000158.wav,1,13.91905957064741,934
section_00_test_anomaly_0318_asd3dp_s0022_clip0000009.wav,1,13.787617561903959,934
section_00_test_anomaly_0319_asd3dp_s0022_clip0000031.wav,1,13.593197768454377,934
section_00_test_anomaly_0320_asd3dp_s0022_clip0000054.wav,1,13.608393053426477,934
section_00_test_anomaly_0321_asd3dp_s0022_clip0000067.wav,1,13.593496264431154,934
section_00_test_anomaly_0322_asd3dp_s0022_clip0000092.wav,1,13.377508101167209,934
section_00_test_anomaly_0323_asd3dp_s0022_clip0000100.wav,1,13.263884837418093,934
section_00_test_anomaly_0324_asd3dp_s0022_clip0000120.wav,1,13.491880724210555,934
section_00_test_anomaly_0325_asd3dp_s0022_clip0000149.wav,1,13.79725965851124,934
section_00_test_anomaly_0326_asd3dp_s0022_clip0000159.wav,1,13.998795136649807,934
section_00_test_anomaly_0327_asd3dp_s0023_clip0000019.wav,1,15.106750594471967,934
section_00_test_anomaly_0328_asd3dp_s0023_clip0000033.wav,1,13.854275547207296,934
section_00_test_anomaly_0329_asd3dp_s0023_clip0000054.wav,1,13.722434725955416,934
section_00_test_anomaly_0330_asd3dp_s0023_clip0000066.wav,1,13.380039233467054,934
section_00_test_anomaly_0331_asd3dp_s0023_clip0000097.wav,1,13.603109901926501,934
section_00_test_anomaly_0332_asd3dp_s0023_clip0000108.wav,1,13.598950469774659,934
section_00_test_anomaly_0333_asd3dp_s0023_clip0000128.wav,1,13.600577607655168,934
section_00_test_anomaly_0334_asd3dp_s0023_clip0000143.wav,1,13.25793027060956,934
section_00_test_anomaly_0335_asd3dp_s0023_clip0000161.wav,1,14.231397900387357,934
section_00_test_anomaly_0336_asd3dp_s0024_clip0000019.wav,1,14.39586629397864,934
section_00_test_anomaly_0337_asd3dp_s0024_clip0000034.wav,1,13.607621409397819,934
section_00_test_anomaly_0338_asd3dp_s0024_clip0000049.wav,1,13.39909119779599,934
section_00_test_anomaly_0339_asd3dp_s0024_clip0000082.wav,1,13.246140718970615,934
section_00_test_anomaly_0340_asd3dp_s0024_clip0000089.wav,1,13.152520972094647,934
section_00_test_anomaly_0341_asd3dp_s0024_clip0000122.wav,1,13.563766554029902,934
section_00_test_anomaly_0342_asd3dp_s0024_clip0000147.wav,1,13.489221072554333,934
section_00_test_anomaly_0343_asd3dp_s0024_clip0000166.wav,1,14.267510759243363,934
section_00_test_anomaly_0344_asd3dp_s0025_clip0000021.wav,1,14.151659325307646,934
section_00_test_anomaly_0345_asd3dp_s0025_clip0000041.wav,1,13.612581326568408,934
